date,team1,team2,winner
4/8/2019,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
4/9/2019,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
4/10/2019,Mumbai Indians,Kings XI Punjab,Mumbai Indians
4/11/2019,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
4/12/2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals
4/13/2019,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
4/13/2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
4/14/2019,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
4/14/2019,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
4/15/2019,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
4/16/2019,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
4/17/2019,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
4/18/2019,Delhi Capitals,Mumbai Indians,Mumbai Indians
4/19/2019,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
4/20/2019,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
4/20/2019,Delhi Capitals,Kings XI Punjab,Delhi Capitals
4/21/2019,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
4/21/2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
4/22/2019,Rajasthan Royals,Delhi Capitals,Delhi Capitals
4/23/2019,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
4/24/2019,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
4/25/2019,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
4/26/2019,Chennai Super Kings,Mumbai Indians,Mumbai Indians
4/27/2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals
4/28/2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
4/28/2019,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders
4/29/2019,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
4/30/2019,Royal Challengers Bangalore,Rajasthan Royals,NA
5/1/2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
5/2/2019,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
5/3/2019,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
5/4/2019,Delhi Capitals,Rajasthan Royals,Delhi Capitals
5/4/2019,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
5/5/2019,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
5/5/2019,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
5/7/2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians
5/8/2019,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
5/10/2019,Chennai Super Kings,Delhi Capitals,Chennai Super Kings
5/12/2019,Mumbai Indians,Chennai Super Kings,Mumbai Indians
9/19/2020,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
9/20/2020,Delhi Capitals,Kings XI Punjab,Delhi Capitals
10/21/2020,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
11/3/2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
9/22/2020,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
10/24/2020,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
10/24/2020,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
10/28/2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
10/9/2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals
10/7/2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
10/31/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
10/1/2020,Mumbai Indians,Kings XI Punjab,Mumbai Indians
9/30/2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
11/2/2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals
11/1/2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
10/11/2020,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals
9/23/2020,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
10/17/2020,Chennai Super Kings,Delhi Capitals,Delhi Capitals
9/24/2020,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
10/6/2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians
10/18/2020,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
10/4/2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
10/3/2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
10/3/2020,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals
10/2/2020,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
10/18/2020,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
10/22/2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
10/5/2020,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals
10/26/2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
10/23/2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians
10/17/2020,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
10/10/2020,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders
10/27/2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
10/10/2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
10/16/2020,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
9/27/2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
10/13/2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
10/11/2020,Delhi Capitals,Mumbai Indians,Mumbai Indians
11/1/2020,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
10/15/2020,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
9/29/2020,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad
10/19/2020,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
9/21/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
10/31/2020,Delhi Capitals,Mumbai Indians,Mumbai Indians
10/29/2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
10/30/2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
10/4/2020,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians
9/25/2020,Delhi Capitals,Chennai Super Kings,Delhi Capitals
10/12/2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
10/25/2020,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
10/8/2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
10/14/2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals
10/25/2020,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
9/26/2020,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
10/20/2020,Delhi Capitals,Kings XI Punjab,Kings XI Punjab
9/28/2020,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
11/5/2020,Mumbai Indians,Delhi Capitals,Mumbai Indians
11/6/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
11/8/2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals
11/10/2020,Delhi Capitals,Mumbai Indians,Mumbai Indians
